frequency,Tmag,Tphase
56234.1325,23.6865585,-90.5186631
63095.7344,22.6864105,-90.663554
70794.5784,21.6862082,-90.817246
79432.8235,20.6859411,-90.9817803
89125.0938,19.6855948,-91.1593349
100000,18.6851509,-91.3522674
112201.845,17.6845858,-91.5631317
125892.541,16.6838693,-91.7947232
141253.754,15.6829634,-92.0501076
158489.319,14.6818197,-92.332665
177827.941,13.6803774,-92.6461323
199526.231,12.6785596,-92.9946503
223872.114,11.6762695,-93.3828191
251188.643,10.673385,-93.8157533
281838.293,9.6697526,-94.2991466
316227.766,8.66517859,-94.839342
354813.389,7.65941927,-95.4434064
398107.171,6.65216761,-96.1192108
446683.592,5.64303707,-96.87552
501187.234,4.63154061,-97.7220805
562341.325,3.61706507,-98.6697171
630957.344,2.5988381,-99.7304226
707945.784,1.57588665,-100.917445
794328.235,0.546985329,-102.245359
891250.938,-0.489409937,-103.730105
1000000,-1.53524326,-105.388981
1122018.45,-2.59296272,-107.240555
1258925.41,-3.66564915,-109.304441
1412537.54,-4.75717515,-111.600874
1584893.19,-5.87239969,-114.149972
1778279.41,-7.0174007,-116.970508
1995262.31,-8.19974028,-120.077964
2238721.14,-9.42875058,-123.481496
2511886.43,-10.7157923,-127.179343
2818382.93,-12.0743995,-131.152051
3162277.66,-13.5201302,-135.352858
3548133.89,-15.0698091,-139.694758
3981071.71,-16.7396383,-144.034616
4466835.92,-18.5413959,-148.15696
5011872.34,-20.4757499,-151.765027
5623413.25,-22.5220591,-154.496458
6309573.44,-24.6262526,-155.995256
7079457.84,-26.6948631,-156.074078
7943282.35,-28.6123831,-154.937154
8912509.38,-30.2921308,-153.273564
10000000,-31.7282705,-151.999201
11220184.5,-32.9931082,-151.801882
12589254.1,-34.1846489,-152.920154
14125375.4,-35.3810762,-155.249616
15848931.9,-36.627393,-158.543436
17782794.1,-37.9414493,-162.545687
19952623.1,-39.3239105,-167.045473
22387211.4,-40.7660082,-171.88697
25118864.3,-42.2543864,-176.962274
28183829.3,-43.7738724,-182.199872
31622776.6,-45.3090066,-187.553503
35481338.9,-46.844895,-192.992849
39810717.1,-48.3677098,-198.496319
44668359.2,-49.8650145,-204.045951
50118723.4,-51.3259986,-209.624383
56234132.5,-52.7416519,-215.213775
63095734.4,-54.10488,-220.796406
70794578.4,-55.4105496,-226.356417
79432823.5,-56.65545,-231.881936
89125093.8,-57.8381567,-237.366759
100000000,-58.958787,-242.810928
112201845,-60.018644,-248.219914
125892541,-61.019764,-253.602563
141253754,-61.9644093,-258.968324
158489319,-62.8545759,-264.324384
177827941,-63.6915975,-269.67324
199526231,-64.4759251,-275.011023
223872114,-65.2071229,-280.326639
251188643,-65.884082,-285.601704
281838293,-66.5054003,-290.811202
316227766,-67.0698467,-295.924816
354813389,-67.5768105,-300.908858
398107171,-68.0266483,-305.728646
446683592,-68.4208686,-310.351044
501187234,-68.7621357,-314.746837
562341325,-69.0541152,-318.892593
630957344,-69.3012126,-322.771797
707945784,-69.5082647,-326.375195
794328235,-69.6802411,-329.700447
891250938,-69.8219923,-332.751264
1000000000,-69.9380646,-335.53627
1122018450,-70.0325827,-338.067774
1258925410,-70.1091921,-340.360603
1412537540,-70.1710476,-342.431087
1584893190,-70.220833,-344.296231
1778279410,-70.2608005,-345.973081
1995262310,-70.2928195,-347.478259
2238721140,-70.3184276,-348.827654
2511886430,-70.3388811,-350.03622
2818382930,-70.3552002,-351.117873
3162277660,-70.36821,-352.085442
3548133890,-70.3785754,-352.950679
3981071710,-70.3868305,-353.724287
4466835920,-70.3934036,-354.415979
5011872340,-70.3986375,-355.034537
5623413250,-70.4028066,-355.587891
6309573440,-70.4061299,-356.083184
7079457840,-70.4087826,-356.526846
7943282350,-70.4109048,-356.924665
8912509380,-70.4126087,-357.281848
10000000000,-70.4139848,-357.603084
11220184500,-70.4151059,-357.892599
12589254100,-70.4160315,-358.154209
14125375400,-70.416811,-358.391366
15848931900,-70.4174856,-358.607204
17782794100,-70.4180913,-358.804575
19952623100,-70.4186602,-358.986089
22387211400,-70.4192227,-359.154147
25118864300,-70.4198087,-359.310969
28183829300,-70.4204492,-359.458626
31622776600,-70.4211785,-359.599065
35481338900,-70.4220351,-359.734132
39810717100,-70.4230646,-359.865596
44668359200,-70.4243215,-359.995169
50118723400,-70.4258723,-360.124525
56234132500,-70.4277991,-360.255318
63095734400,-70.4302035,-360.389193
70794578400,-70.4332118,-360.527802
79432823500,-70.436982,-360.672806
89125093800,-70.4417107,-360.825878
100000000000,-70.4476437,-360.988699
112201845000,-70.4550869,-361.162934
125892541000,-70.4644214,-361.350198
141253754000,-70.4761195,-361.551997
158489319000,-70.4907654,-361.76964
177827941000,-70.5090778,-362.004094
199526231000,-70.5319355,-362.255794
223872114000,-70.5604039,-362.524355
251188643000,-70.5957612,-362.808184
281838293000,-70.6395182,-363.103942
316227766000,-70.6934261,-363.405841
354813389000,-70.7594602,-363.704723
398107171000,-70.8397619,-363.986929
446683592000,-70.9365173,-364.232959
501187234000,-71.0517409,-364.416012
562341325000,-71.1869294,-364.500601
630957344000,-71.342551,-364.441576
707945784000,-71.5173452,-364.18413
794328235000,-71.7074401,-363.665631
891250938000,-71.90536,-362.820374
1000000000000,-72.0991185,-361.588544
