 time            v(Vout)         v(V1)          
 2.66650000e-06  4.70299013e-01  5.00000000e-01 
 2.66750000e-06  4.70412784e-01  5.00000000e-01 
 2.66850000e-06  4.70526160e-01  5.00000000e-01 
 2.66950000e-06  4.70639145e-01  5.00000000e-01 
 2.67050000e-06  4.70751741e-01  5.00000000e-01 
 2.67150000e-06  4.70863949e-01  5.00000000e-01 
 2.67250000e-06  4.70975772e-01  5.00000000e-01 
 2.67350000e-06  4.71087212e-01  5.00000000e-01 
 2.67450000e-06  4.71198272e-01  5.00000000e-01 
 2.67550000e-06  4.71308954e-01  5.00000000e-01 
 2.67650000e-06  4.71419259e-01  5.00000000e-01 
 2.67750000e-06  4.71529189e-01  5.00000000e-01 
 2.67850000e-06  4.71638748e-01  5.00000000e-01 
 2.67950000e-06  4.71747936e-01  5.00000000e-01 
 2.68050000e-06  4.71856757e-01  5.00000000e-01 
 2.68150000e-06  4.71965212e-01  5.00000000e-01 
 2.68250000e-06  4.72073303e-01  5.00000000e-01 
 2.68350000e-06  4.72181032e-01  5.00000000e-01 
 2.68450000e-06  4.72288402e-01  5.00000000e-01 
 2.68550000e-06  4.72395413e-01  5.00000000e-01 
 2.68650000e-06  4.72502069e-01  5.00000000e-01 
 2.68750000e-06  4.72608371e-01  5.00000000e-01 
 2.68850000e-06  4.72714321e-01  5.00000000e-01 
 2.68950000e-06  4.72819922e-01  5.00000000e-01 
 2.69050000e-06  4.72925174e-01  5.00000000e-01 
 2.69150000e-06  4.73030080e-01  5.00000000e-01 
 2.69250000e-06  4.73134642e-01  5.00000000e-01 
 2.69350000e-06  4.73238862e-01  5.00000000e-01 
 2.69450000e-06  4.73342742e-01  5.00000000e-01 
 2.69550000e-06  4.73446283e-01  5.00000000e-01 
 2.69650000e-06  4.73549487e-01  5.00000000e-01 
 2.69750000e-06  4.73652356e-01  5.00000000e-01 
 2.69850000e-06  4.73754892e-01  5.00000000e-01 
 2.69950000e-06  4.73857097e-01  5.00000000e-01 
 2.70050000e-06  4.73958973e-01  5.00000000e-01 
 2.70150000e-06  4.74060521e-01  5.00000000e-01 
 2.70250000e-06  4.74161743e-01  5.00000000e-01 
 2.70350000e-06  4.74262641e-01  5.00000000e-01 
